,index,User_id,Local_sg_time,POI_id,POI_Type,Location_id,Category,L2_id,weekend,hour,new_id,new_id_reindex,location_id_reindex,user_id_reindex
0,3,521,2012-04-21 18:42:06+00:00,917,Independent,917,Hotel,1,1,18,1,1,568,0
1,4,521,2012-04-21 18:43:00+00:00,915,Independent,915,Steakhouse,2,1,18,2,2,566,0
2,5,521,2012-04-21 18:43:21+00:00,916,Independent,916,Pub,3,1,18,3,3,567,0
3,6,521,2012-04-22 09:21:38+00:00,915,Independent,915,Steakhouse,2,1,9,2,2,566,0
4,7,521,2012-04-22 09:22:44+00:00,892,Independent,892,Diner,4,1,9,4,4,554,0
5,8,521,2012-04-22 11:28:50+00:00,1181,Independent,1181,Hotel,1,1,11,1,1,717,0
6,9,521,2012-04-22 11:31:00+00:00,1177,Independent,1177,Bar,5,1,11,5,5,714,0
7,10,521,2012-04-22 11:59:03+00:00,1174,Independent,1174,Coffee Shop,6,1,11,6,6,711,0
8,11,521,2012-04-22 12:10:20+00:00,512,Independent,512,Board Shop,7,1,12,7,7,319,0
9,12,521,2012-04-22 12:55:01+00:00,474,Independent,474,Casino,8,1,12,8,8,290,0
10,13,521,2012-04-22 12:56:41+00:00,509,Independent,509,Bar,5,1,12,5,5,316,0
11,14,521,2012-04-22 13:16:11+00:00,790,Independent,790,Ice Cream Shop,9,1,13,9,9,493,0
12,15,521,2012-04-23 07:24:18+00:00,917,Independent,917,Hotel,1,0,7,1,1,568,0
13,16,521,2012-04-23 12:39:20+00:00,1183,Independent,1183,Cocktail Bar,10,0,12,10,10,719,0
14,17,521,2012-04-23 12:43:49+00:00,1177,Independent,1177,Bar,5,0,12,5,5,714,0
15,18,521,2012-04-23 18:39:17+00:00,1177,Independent,1177,Bar,5,0,18,5,5,714,0
16,19,521,2012-04-23 18:47:56+00:00,2103,Combined,1160,American Restaurant,11,0,18,2103,147,704,0
17,20,521,2012-04-23 19:37:08+00:00,769,Independent,769,Gastropub,12,0,19,12,12,480,0
18,21,521,2012-04-24 06:08:15+00:00,917,Independent,917,Hotel,1,0,6,1,1,568,0
19,22,521,2012-04-24 15:29:38+00:00,600,Independent,600,Caf,13,0,15,13,13,375,0
20,23,521,2013-01-29 07:47:02+00:00,1213,Independent,1213,Hotel,1,0,7,1,1,739,0
21,24,521,2013-01-29 16:06:05+00:00,1123,Independent,1123,Japanese Restaurant,14,0,16,14,14,688,0
22,25,521,2013-01-29 16:34:57+00:00,1177,Independent,1177,Bar,5,0,16,5,5,714,0
23,26,521,2013-01-29 16:37:43+00:00,1213,Independent,1213,Hotel,1,0,16,1,1,739,0
24,28,521,2013-07-08 05:24:04+00:00,543,Independent,543,Hotel,1,0,5,1,1,343,0
25,29,521,2013-07-08 12:28:01+00:00,2102,Combined,1249,Coffee Shop,6,0,12,2102,146,762,0
