,POI_id,POI_Type,Location_id,Latitude,Longitude,Category,Org_id,yelp_id,name,stars
0,942,Independent,942,51.115835,-114.06984299999999,Grocery Store,4b3fcbf7f964a520feae25e3,jmDK3C5_gyQ0-5VZik643A,Real Canadian Superstore,3.5
1,560,Independent,560,51.041939,-114.08941599999999,Coffee Shop,4b8c2b39f964a520f0c132e3,eHJsmmxumitEJkuaO0yBSQ,Tim Hortons,3.0
2,2210,Combined,1041,51.084709000000004,-114.12473200000001,Drugstore / Pharmacy,4b67279df964a520373e2be3,WBkUnLApQeWdkb1-LPgjAQ,London Drugs,3.5
3,151,Independent,151,50.9299,-113.96616000000002,Department Store,4bb6a15946d4a593a095c6c0,2O3tH8b3mJY5KO2KnJuokA,Walmart Supercentre,4.0
4,2301,Combined,238,50.980506,-114.041948,Furniture / Home Store,4b6c7c4af964a520ee3d2ce3,UScXRDCz535-5MOkpoJyqw,IKEA,3.0
5,1136,Independent,1136,51.048142999999996,-114.06536100000001,Coffee Shop,4b5f15f5f964a52050a529e3,qDpngVfw7Y8XFhCZjqTZYw,Analog Coffee,4.5
6,1145,Independent,1145,51.046318,-114.061775,Light Rail,4b54e95ef964a520cdd227e3,PjlodjmfABi5dW-iek2P-w,Calgary Transit,2.5
7,1207,Independent,1207,51.046256,-114.056676,Light Rail,4b21a170f964a520373f24e3,gvx8rtsk9VMjCv8sTCm04A,City Hall LRT Station,3.5
8,884,Independent,884,51.079304,-113.9906,Grocery Store,4b75f725f964a520ba322ee3,pih0Ql0yOcVbLUI9eovGIA,Costco Wholesale,4.0
9,2220,Combined,167,50.933766999999996,-113.96053799999999,Hardware Store,4ba66d9af964a520715139e3,1WY-6l7DUFGu71EB6Jjxyg,The Home Depot,2.0
10,770,Independent,770,51.058375,-114.069346,Skating Rink,4dcda14f22718eed7a23b018,LyMpee3zP1J8A5t0AM-IJQ,Calgary Curling Club,4.0
11,180,Independent,180,50.949148,-113.98270600000001,Casino,4b0586e6f964a520cd7322e3,aBaXV2pCWpf4PcUbGcrs3g,Deerfoot Inn & Casino,2.5
12,2204,Combined,749,51.098789000000004,-114.144016,Mall,4b6e0876f964a520f8a42ce3,Te-QpX0XZIhY81Icm2HU8A,Target,3.0
13,2102,Combined,1258,51.045728999999994,-114.071125,Electronics Store,4baa6368f964a52081653ae3,XZVrxLpCm2XOlNhzJ_bHqA,iPhix,1.5
14,530,Independent,530,51.037858,-114.083022,Vegetarian / Vegan Restaurant,4c82ea6d47cc224b10008b9f,9tgJbLfCQcZ35-TSabZOfA,The Coup,4.0
15,987,Independent,987,51.070299,-114.11756100000001,Seafood Restaurant,4b4d3b6ef964a520e7ce26e3,nCUw_LVqKa3fSa0GEI7ZKQ,Joey's Seafood Restaurants,1.5
16,1098,Independent,1098,51.04665,-114.08074099999999,Fast Food Restaurant,4b6c7abef964a520763d2ce3,NPa74p4Ox9-5d-EbByx1gw,McDonalds,2.0
17,522,Independent,522,51.03771500000001,-114.079571,Drugstore / Pharmacy,4ba96258f964a5208c233ae3,i5k6adxc1CsMxdp4bCt6Dw,Shoppers Drug Mart,4.0
18,2211,Combined,1056,51.065956,-114.103146,Grocery Store,4b76f530f964a520826e2ee3,Id9IbX4C7sxPf2BvgK8eTw,Safeway,3.5
19,315,Independent,315,50.993306,-114.070747,BBQ Joint,4b50ac92f964a520c62c27e3,63kxNq4fgwvuJnjIeayE8w,A Plus Buffet Sushi Bar,3.0
20,2103,Combined,1159,51.051856,-114.070187,Hotel,4b0586e6f964a5209d7322e3,KsQzxfuZTnNnPEOMfQ9mng,Sheraton Suites Calgary Eau Claire,4.5
21,568,Independent,568,51.04195900000001,-114.08270900000001,Pub,4c4beed19e6dbe9a577ac10c,tnJ7Tgn7EifkhPguLnUn3w,Mikey's On 12th,3.5
22,2212,Combined,638,51.154671,-114.054129,Coffee Shop,4b2673a0f964a520ba7b24e3,W8f0UUpmVX5Vnar3TDNojg,Tim Hortons,2.5
23,827,Independent,827,51.080938,-114.025644,Coffee Shop,4ba0df3cf964a520a38337e3,RHYAN5MXsYuvehCuK1zE5g,Tim Hortons,3.5
24,921,Independent,921,51.093849,-113.99858200000001,Hotel,4b8f241ef964a520de4a33e3,EDzCc-FzSXvDG2O0lDYaQw,Holiday Inn Express & Suites Airport-Calgary,4.0
25,2300,Combined,674,51.12423,-114.20473,Coffee Shop,4b6ec387f964a5207fc92ce3,x5vdKD0MhkLHHncMryLBeg,Tim Hortons,3.0
26,471,Independent,471,51.040827,-114.06558999999999,Coffee Shop,4b5ba2d4f964a520aa0c29e3,oNf6MkIn1RTPmCBVACPA_w,Starbucks,3.0
27,1095,Independent,1095,51.045246,-114.08091499999999,Nightclub,4b0586e9f964a520b07422e3,5JtCdjoC3zDO9YoqKInAxA,Knoxville's Tavern,2.0
28,2102,Combined,1235,51.044793,-114.06918300000001,Coffee Shop,4b9e7a75f964a5206de736e3,4tYewpOSBPxiTjoFT54ZCw,Tim Hortons,3.0
29,2300,Combined,688,51.125763,-114.198549,Juice Bar,4bb66f962ea19521eaabab2f,W8biO0K_PIsT42zbG4zoow,Booster Juice,4.0
30,1185,Independent,1185,51.049833,-114.069348,Spa / Massage,4b28322af964a520a59024e3,lS0BiPeGWONrpPkhe6H5hg,Shiva Medical Spa,1.0
31,1118,Independent,1118,51.048004,-114.07486399999999,Coffee Shop,4b59c237f964a520959628e3,xwNA3haonavN4SP0i0YEbw,Deville Coffee,3.0
32,124,Independent,124,50.961457,-114.074266,Grocery Store,4c96612d533aa0932c46d145,iGmccHBQtF8xRT4n9zxA6Q,Real Canadian Superstore,2.0
33,2105,Combined,1240,51.045559000000004,-114.066979,Indian Restaurant,4b0586e9f964a520ac7422e3,GwpoCSmwfJYo7fyBq_mDZQ,Mango Shiva,4.0
34,1055,Independent,1055,51.067456,-114.105317,Hardware Store,4b17e920f964a52091c923e3,RLuDMEOKc6xPN_1_IY76RQ,The Home Depot,3.0
35,1018,Independent,1018,51.071855,-114.159649,Restaurant,4c62047ceb82d13a969604d6,SYCgakqaEBTjRhOVFXjV3g,NOtaBLE,4.0
36,2221,Combined,73,50.905549,-114.06498500000001,Grocery Store,4ba990f7f964a520c62e3ae3,WxzEFPjYt0VIwKDw4tur4Q,Safeway,4.0
37,365,Independent,365,51.008169,-114.068542,Bar,4b0586e9f964a520967422e3,uNBrfpSxA6vmzX_9CpKKaA,Blind Beggar Bar & Grill,4.0
38,984,Independent,984,51.068295,-114.116803,Motel,4b8ff260f964a5205f6b33e3,cM-MCFsZ4fF23JoGNHeXaA,Best Western Plus Village Park Inn,3.5
39,278,Independent,278,51.023975,-114.108795,Coffee Shop,4b141699f964a520229d23e3,R9Q2H4XVCiHUee3OvkB1kg,Phil and Sebastian Coffee Roasters,4.0
40,535,Independent,535,51.037727000000004,-114.08555700000001,Coffee Shop,4ca8c27844a8224b26c81a40,RUw1P4_Dq0Zu7Dn6dvu7jA,Waves Coffee House,4.0
41,725,Independent,725,51.085746,-114.18050900000001,Coffee Shop,4b1d2499f964a520350c24e3,KMNkriayvWEwdZPcmr1faA,Cadence Coffee,4.0
42,1197,Independent,1197,51.050022999999996,-114.06346200000002,Bakery,4bd1e82fa8b3a59355ae665f,6F51-rxfSPu1wUiKTjBJjw,Baker's Hut,3.5
43,53,Independent,53,50.900895,-114.06168899999999,Department Store,4b8d5f1df964a520b6f732e3,YwjlMw_KBgj6F-Ys--XayA,Walmart,3.0
44,929,Independent,929,51.088476,-114.062929,Coffee Shop,4b5e159df964a520d07c29e3,nT15zgH_9EFINH84W7fxIg,Tim Hortons,3.0
45,314,Independent,314,50.992631,-114.073342,Coffee Shop,4b2bc7b9f964a520d2ba24e3,CqQ9Y1J47Osr0BVGlU6tiQ,Tim Hortons,2.5
46,941,Independent,941,51.110177,-114.061904,Coffee Shop,4b4d262df964a520b1cc26e3,9npKMK9x3pgtP41n2rpPvQ,Tim Hortons,1.5
47,100,Independent,100,50.951749,-114.06091699999999,Library,4bc0dd67f8219c74c25cb210,Cx6DYhA3incRLbV76PyrSQ,Fish Creek Public Library,5.0
48,361,Independent,361,51.0017,-114.063975,Vietnamese Restaurant,4d4b54f8d28f37040b42f222,4e_kgP5CBbWwZCYEbConPA,Oriental Phoenix Restaurant,3.5
49,2300,Combined,675,51.124115,-114.20608500000002,Automotive Shop,4b6cd31cf964a5202b572ce3,S1iUGkHlSvKt2TCAsqe9Ag,Discount Car & Truck Rentals,2.5
50,2218,Combined,110,50.952655,-114.066667,Salon / Barbershop,4f80973ee4b05d42de491afa,evYs25izRjdiDdZU-XWSPA,Hennessey Salon + Spa,2.0
51,2213,Combined,8,51.041151,-114.13966699999999,Department Store,4b3bf893f964a520807f25e3,51QAojCrBm5f2BqJUSrmZA,Walmart,3.0
52,2300,Combined,704,51.127926,-114.200695,Coffee Shop,4ba13457f964a520dba137e3,VsdyDGq7ouMA72KvD5qUdQ,Starbucks,3.5
53,2205,Combined,853,51.06104000000001,-113.984675,Grocery Store,4b579da6f964a520853928e3,Me903TmRgwOdiC05DILyyg,T & T Supermarket,3.5
54,62,Independent,62,50.902741,-114.065803,Pizza Place,4b076de9f964a5207cfd22e3,ethajsaDau3bk99n2cUPhQ,Boston Pizza,2.5
55,2216,Combined,321,50.997526,-114.07338700000001,Sporting Goods Shop,4bfae2281c1da59387137e0e,UIBn9sYbDbPBBJYNcu1u2g,Sport Chek Chinook Centre,2.5
56,2221,Combined,74,50.907293,-114.065722,Vietnamese Restaurant,4b314725f964a520c50325e3,8glTYTp-ZzR_mlUe7p7HHQ,Jerusalem Shawarma - Shawnessy,4.5
57,2201,Combined,586,51.098711,-113.95928899999998,Fast Food Restaurant,4bf5eeacbfeac92806989336,61h1akwzAo5vqNmnDdgmnA,Mucho Burrito,4.5
58,1187,Independent,1187,51.049152,-114.06237,Chinese Restaurant,4b0586ebf964a520477522e3,QGE9ZsMb7QLMsBf2OvfVMw,Dragon Chinese Restaurant,3.5
59,2200,Combined,579,51.151388,-114.213649,Grocery Store,4b6b5f86f964a5205f042ce3,0iGOEpsD8Tr79TMmk-hLgw,Sobeys,4.5
60,402,Independent,402,51.041998,-114.035945,Italian Restaurant,4b68d2a4f964a520c18e2be3,LyNhyjqYAKmtq_z--AimvQ,Gorilla Whale,3.5
61,925,Independent,925,51.094936,-113.99978999999999,Hotel,4ba013a2f964a520f55737e3,L2qg_6qrG70DRy4bvppYPg,Sandman Hotel & Suites Calgary Airport,2.0
62,1036,Independent,1036,51.07867,-114.13013899999999,Concert Hall,4c996577292a6dcb6753c676,fK54MdR4YFlbGzCzCg7FlQ,MacEwan Hall and Ballroom,3.5
63,425,Independent,425,51.04331,-114.07023000000001,Pub,4dfaa9d31f6eeef806a8964e,yL_bdAZxiSBFvwlPm5WK6g,The Whiskey,2.5
64,891,Independent,891,51.079881,-114.00286299999999,American Restaurant,4b0586e7f964a520117422e3,fYqz_q3c-HC3R5vreCvfpw,Tony Roma's,3.0
65,473,Independent,473,51.041234,-114.06476699999999,Hotel,4b0586e6f964a520cc7322e3,TJ3MrS3I2IHhdQu2gxbmtg,Hotel Arts,3.5
66,463,Independent,463,51.034043,-114.071051,Karaoke Bar,4b626a75f964a520b4462ae3,nbwZ3FDy1ET99W3GDnAcrQ,Ducky's Pub & Restaurant,3.0
67,381,Independent,381,51.03014,-114.060616,Breakfast Spot,4b898464f964a520193e32e3,s0YfHJ9gEuDgbSKcL97aGg,Humpty's Family Restaurants,2.5
68,54,Independent,54,50.89918,-114.065523,Coffee Shop,4b5f9164f964a52017c229e3,mlRzpGPBEzmK4U2Uzdk0zg,Tim Hortons,2.0
69,982,Independent,982,51.067352,-114.117194,American Restaurant,4b6555c7f964a520a4ed2ae3,2tvdTwgARXgu-5UVRcsc4A,Denny's,3.0
70,2200,Combined,576,51.150493,-114.21358000000001,Coffee Shop,4b7f6e16f964a520332e30e3,koGzyFl7XS4hHR-CEJ4hxQ,Second Cup,4.0
71,201,Independent,201,50.970995,-114.072325,Fast Food Restaurant,4bae5252f964a52071a23be3,pThxL0s-N74XVaCU-JdFtA,McDonald's,2.0
72,193,Independent,193,50.962654,-114.08648600000001,Coffee Shop,4b603378f964a520aed929e3,Pnj5JxSS2AZS29wRZAC8XA,Tim Hortons,3.0
73,795,Independent,795,51.065907,-114.06389899999999,Ramen /  Noodle House,4b0586ebf964a520777522e3,HKuez_mOGARb2aC6i5-WWQ,Pho Kim Restaurant,3.5
74,203,Independent,203,50.972737,-114.070154,Hotel,4b0586e6f964a520a97322e3,yJbFmJAtc6R5JlDBEQBs8Q,Carriage House Inn,3.0
75,2301,Combined,239,50.981401,-114.045201,Restaurant,4d8e2b7dca75b60c2de4f8a8,C3uxeV8VSiMGcdFGmos0QQ,Moxie's Grill & Bar,3.0
76,1113,Independent,1113,51.045916,-114.07488500000001,Movie Theater,4b0586ecf964a520db7522e3,87XfNqtYs1ld2w2J88pm4w,Globe Cinema,4.0
77,78,Independent,78,50.909738,-114.067438,Grocery Store,4b64b2d2f964a52042c92ae3,e7Ip7cd_m_NZt2r3VMd4ow,Real Canadian Superstore,3.0
78,2215,Combined,28,51.019537,-114.16797199999999,Steakhouse,4b0586ebf964a5205e7522e3,_EjdwRr_Y5BLtz6BjjhFHQ,Montana's BBQ & Bar,2.5
79,427,Independent,427,51.042654,-114.071494,Coffee Shop,4b47a74af964a5201f3926e3,uoEN0ubXMi4ZcnjNVUNunw,Tim Hortons,2.0
80,1188,Independent,1188,51.049025,-114.05993500000001,Hotel,4b0586e6f964a520a27322e3,GTLaZNQ1B3JsrhUh9z3vEg,Delta Hotels by Marriott Calgary Downtown,3.5
81,2216,Combined,356,50.999968,-114.07293200000001,Clothing Store,4cb2382175ebb60c0953d3ad,3CoHXsCzSejNwMqNZLaoEA,Tory Burch,4.0
