,final_time,category_checkin,category_Pnum,category_stars,POI_id_stars,POI_id_Popular,Location_id_Popular,Combined_Category,Location_id,POI_id,POI_Type,Org_id,User_id,TimeStamp,Zone,Latitude,Longitude,Category,yelp_id,name,stars
0,2013-01-31 21:28:19+00:00,148.0,1,3.5,3.5,148.0,148,Outdoor,405,405,Independent,4b15508cf964a520c3b023e3,445,Fri Feb 01 04:28:19 +0000 2013,-420,51.037535,-114.051733,Stadium,fAczVm0LU-mmIPRz1VIIYA,Scotiabank Saddledome,3.5
1,2013-03-07 00:25:42+00:00,148.0,1,3.5,3.5,148.0,148,Outdoor,405,405,Independent,4b15508cf964a520c3b023e3,445,Thu Mar 07 07:25:42 +0000 2013,-420,51.037535,-114.051733,Stadium,fAczVm0LU-mmIPRz1VIIYA,Scotiabank Saddledome,3.5
2,2013-04-10 16:40:20+00:00,148.0,1,3.5,3.5,148.0,148,Outdoor,405,405,Independent,4b15508cf964a520c3b023e3,445,Wed Apr 10 23:40:20 +0000 2013,-360,51.037535,-114.051733,Stadium,fAczVm0LU-mmIPRz1VIIYA,Scotiabank Saddledome,3.5
3,2012-04-21 18:42:06+00:00,7.0,1,4.0,4.0,7.0,7,Travel Spot,917,917,Independent,4b0586e6f964a520c77322e3,521,Sun Apr 22 01:42:06 +0000 2012,-360,51.082188,-114.00032,Hotel,uaQOlGH85FWz_td3fAdC6w,Sheraton Cavalier Calgary Hotel,4.0
4,2012-04-21 18:43:00+00:00,3.0,1,4.0,4.0,3.0,3,Food,915,915,Independent,4b0586eaf964a520217522e3,521,Sun Apr 22 01:43:00 +0000 2012,-360,51.08204,-114.00002,Steakhouse,hDzL5ywj0q3CDjXXSvhYAg,Carver's Steakhouse,4.0
5,2012-04-21 18:43:21+00:00,2.0,1,5.0,5.0,2.0,2,Nightlife Spot,916,916,Independent,4ce3568f2407a1cdc5ae4dd0,521,Sun Apr 22 01:43:21 +0000 2012,-360,51.082187,-114.000384,Pub,hn_3yKI4wtL2zOwhEjX7nQ,Henry's Pub,5.0
6,2012-04-22 09:21:38+00:00,3.0,1,4.0,4.0,3.0,3,Food,915,915,Independent,4b0586eaf964a520217522e3,521,Sun Apr 22 16:21:38 +0000 2012,-360,51.08204,-114.00002,Steakhouse,hDzL5ywj0q3CDjXXSvhYAg,Carver's Steakhouse,4.0
7,2012-04-22 09:22:44+00:00,2.0,1,3.0,3.0,2.0,2,Food,892,892,Independent,4b5c9711f964a520713829e3,521,Sun Apr 22 16:22:44 +0000 2012,-360,51.080482,-114.002946,Diner,hcNgeIo2TWyfzgkR0yG-BQ,Perkins Restaurant & Bakery,3.0
8,2012-04-22 11:28:50+00:00,24.0,1,3.5,3.5,24.0,24,Travel Spot,1181,1181,Independent,4b0586e6f964a5209f7322e3,521,Sun Apr 22 18:28:50 +0000 2012,-360,51.04996,-114.06965,Hotel,fbbO2vNsYPhi11Se7T95lQ,The Westin Calgary,3.5
9,2012-04-22 11:31:00+00:00,9.0,1,3.5,3.5,9.0,9,Nightlife Spot,1177,1177,Independent,4b0586e9f964a520b47422e3,521,Sun Apr 22 18:31:00 +0000 2012,-360,51.047791,-114.072502,Bar,AGul9F9ln7hm2NCYyqzppA,Local 522,3.5
10,2012-04-22 11:59:03+00:00,5.0,1,2.5,2.5,5.0,5,Drink,1174,1174,Independent,4b6c4525f964a520dc2c2ce3,521,Sun Apr 22 18:59:03 +0000 2012,-360,51.048468,-114.071598,Coffee Shop,4X-IzouANwT37SS0McEhPA,Tim Hortons,2.5
11,2012-04-22 12:10:20+00:00,1.0,1,4.0,4.0,1.0,1,Shop,512,512,Independent,4b5b72b5f964a520d3fe28e3,521,Sun Apr 22 19:10:20 +0000 2012,-360,51.03802,-114.075437,Board Shop,hYUR8pzbBd61T99VuyJzNQ,Bread and Circus,4.0
12,2012-04-22 12:55:01+00:00,9.0,1,3.5,3.5,9.0,9,Art&Entertainment,474,474,Independent,4b0586ecf964a520d67522e3,521,Sun Apr 22 19:55:01 +0000 2012,-360,51.037408,-114.060752,Casino,dkYxm9XJ0jKQ1LcuI829tg,Elbow River Casino,3.5
13,2012-04-22 12:56:41+00:00,42.0,1,4.0,4.0,42.0,42,Nightlife Spot,509,509,Independent,4b0586e8f964a520787422e3,521,Sun Apr 22 19:56:41 +0000 2012,-360,51.037878000000006,-114.073691,Bar,6qmCO3di-FKWLdRn2LuF6g,Ship & Anchor Pub,4.0
14,2012-04-22 13:16:11+00:00,5.0,1,2.0,2.0,5.0,5,Shop,790,790,Independent,4c1c351db4e62d7f8ecada93,521,Sun Apr 22 20:16:11 +0000 2012,-360,51.069172,-114.062233,Ice Cream Shop,TA7o4xcWw5tc3FJxkOH2dQ,DQ Grill & Chill Restaurant,2.0
15,2012-04-23 07:24:18+00:00,7.0,1,4.0,4.0,7.0,7,Travel Spot,917,917,Independent,4b0586e6f964a520c77322e3,521,Mon Apr 23 14:24:18 +0000 2012,-360,51.082188,-114.00032,Hotel,uaQOlGH85FWz_td3fAdC6w,Sheraton Cavalier Calgary Hotel,4.0
16,2012-04-23 12:39:20+00:00,1.0,1,2.5,2.5,1.0,1,Nightlife Spot,1183,1183,Independent,4e27ad2a18a83a13622ab089,521,Mon Apr 23 19:39:20 +0000 2012,-360,51.049588,-114.06928700000002,Cocktail Bar,njhAtkIZF41u4tC0RiVjOA,Ceili's on 4th Modern Irish Pub - Now Open,2.5
17,2012-04-23 12:43:49+00:00,9.0,1,3.5,3.5,9.0,9,Nightlife Spot,1177,1177,Independent,4b0586e9f964a520b47422e3,521,Mon Apr 23 19:43:49 +0000 2012,-360,51.047791,-114.072502,Bar,AGul9F9ln7hm2NCYyqzppA,Local 522,3.5
18,2012-04-23 18:39:17+00:00,9.0,1,3.5,3.5,9.0,9,Nightlife Spot,1177,1177,Independent,4b0586e9f964a520b47422e3,521,Tue Apr 24 01:39:17 +0000 2012,-360,51.047791,-114.072502,Bar,AGul9F9ln7hm2NCYyqzppA,Local 522,3.5
19,2012-04-23 18:47:56+00:00,10.0,1,4.5,3.75,3.5,10,Food,1160,2103,Combined,4b0586eaf964a520147522e3,521,Tue Apr 24 01:47:56 +0000 2012,-360,51.051997,-114.069843,American Restaurant,XbyGwD2UtQNov8MnJOv7pQ,Flower & Wolf,4.5
20,2012-04-23 19:37:08+00:00,5.0,1,4.0,4.0,5.0,5,Nightlife Spot,769,769,Independent,4b4827f8f964a520364926e3,521,Tue Apr 24 02:37:08 +0000 2012,-360,51.054853,-114.07163,Gastropub,BJ3AyMhTaORAu_e_J2KNEQ,River Caf¨?,4.0
21,2012-04-24 06:08:15+00:00,7.0,1,4.0,4.0,7.0,7,Travel Spot,917,917,Independent,4b0586e6f964a520c77322e3,521,Tue Apr 24 13:08:15 +0000 2012,-360,51.082188,-114.00032,Hotel,uaQOlGH85FWz_td3fAdC6w,Sheraton Cavalier Calgary Hotel,4.0
22,2012-04-24 15:29:38+00:00,7.0,1,3.5,3.5,7.0,7,Food,600,600,Independent,4c85059fd34ca14392384380,521,Tue Apr 24 22:29:38 +0000 2012,-360,51.129839,-114.011995,Caf,QN-PNSF0epE94CDQq9WECA,Starbucks,3.5
23,2013-01-29 07:47:02+00:00,10.0,1,3.5,3.5,10.0,10,Travel Spot,1213,1213,Independent,4b0586e6f964a520a17322e3,521,Tue Jan 29 14:47:02 +0000 2013,-420,51.045042,-114.06241,Hotel,tTpeNajXkB9gvOim5lWDXA,Calgary Marriott Downtown Hotel,3.5
24,2013-01-29 16:06:05+00:00,2.0,1,4.5,4.5,2.0,2,Food,1123,1123,Independent,4b71b7aaf964a5203e582de3,521,Tue Jan 29 23:06:05 +0000 2013,-420,51.048563,-114.07473799999998,Japanese Restaurant,n8apkesub_mi7v8_dytc5Q,Gyu-Kaku Japanese BBQ,4.5
25,2013-01-29 16:34:57+00:00,9.0,1,3.5,3.5,9.0,9,Nightlife Spot,1177,1177,Independent,4b0586e9f964a520b47422e3,521,Tue Jan 29 23:34:57 +0000 2013,-420,51.047791,-114.072502,Bar,AGul9F9ln7hm2NCYyqzppA,Local 522,3.5
26,2013-01-29 16:37:43+00:00,10.0,1,3.5,3.5,10.0,10,Travel Spot,1213,1213,Independent,4b0586e6f964a520a17322e3,521,Tue Jan 29 23:37:43 +0000 2013,-420,51.045042,-114.06241,Hotel,tTpeNajXkB9gvOim5lWDXA,Calgary Marriott Downtown Hotel,3.5
27,2013-01-30 17:54:36+00:00,9.0,1,3.5,3.5,9.0,9,Nightlife Spot,1177,1177,Independent,4b0586e9f964a520b47422e3,521,Thu Jan 31 00:54:36 +0000 2013,-420,51.047791,-114.072502,Bar,AGul9F9ln7hm2NCYyqzppA,Local 522,3.5
28,2013-07-08 05:24:04+00:00,1.0,1,5.0,5.0,1.0,1,Travel Spot,543,543,Independent,51663012e4b0f303f2ae7d48,521,Mon Jul 08 12:24:04 +0000 2013,-360,51.03845,-114.088021,Hotel,HXVCaoCzcOGuSSc7Xn_phg,Hotel Elan,5.0
