POI_id_Longitude,POI_id_Latitude,Local_sg_time,category_checkin,category_Pnum,category_stars,POI_id_stars,POI_id_Popular,Location_id_Popular,Combined_Category,Location_id,POI_id,POI_Type,User_id,TimeStamp,Latitude,Longitude,stars,time,weekend,hour,L2_id,new_id
-114.051733,51.037535,2013-01-31 21:28:19+00:00,148,1,3.5,3.5,148,148,Outdoor,405,405,Independent,445,Fri Feb 01 04:28:19 +0000 2013,51.037535,-114.051733,3.5,21:28:19,0,21,0,0
-114.051733,51.037535,2013-03-07 00:25:42+00:00,148,1,3.5,3.5,148,148,Outdoor,405,405,Independent,445,Thu Mar 07 07:25:42 +0000 2013,51.037535,-114.051733,3.5,0:25:42,0,0,0,0
-114.051733,51.037535,2013-04-10 16:40:20+00:00,148,1,3.5,3.5,148,148,Outdoor,405,405,Independent,445,Wed Apr 10 23:40:20 +0000 2013,51.037535,-114.051733,3.5,16:40:20,0,16,0,0
-114.00032,51.082188,2012-04-21 18:42:06+00:00,7,1,4,4,7,7,Travel Spot,917,917,Independent,521,Sun Apr 22 01:42:06 +0000 2012,51.082188,-114.00032,4,18:42:06,1,18,1,1
-114.00002,51.08204,2012-04-21 18:43:00+00:00,3,1,4,4,3,3,Food,915,915,Independent,521,Sun Apr 22 01:43:00 +0000 2012,51.08204,-114.00002,4,18:43:00,1,18,2,2
-114.000384,51.082187,2012-04-21 18:43:21+00:00,2,1,5,5,2,2,Nightlife Spot,916,916,Independent,521,Sun Apr 22 01:43:21 +0000 2012,51.082187,-114.000384,5,18:43:21,1,18,3,3
-114.00002,51.08204,2012-04-22 09:21:38+00:00,3,1,4,4,3,3,Food,915,915,Independent,521,Sun Apr 22 16:21:38 +0000 2012,51.08204,-114.00002,4,9:21:38,1,9,2,2
-114.002946,51.080482,2012-04-22 09:22:44+00:00,2,1,3,3,2,2,Food,892,892,Independent,521,Sun Apr 22 16:22:44 +0000 2012,51.080482,-114.002946,3,9:22:44,1,9,4,4
-114.06965,51.04996,2012-04-22 11:28:50+00:00,24,1,3.5,3.5,24,24,Travel Spot,1181,1181,Independent,521,Sun Apr 22 18:28:50 +0000 2012,51.04996,-114.06965,3.5,11:28:50,1,11,1,1
-114.072502,51.047791,2012-04-22 11:31:00+00:00,9,1,3.5,3.5,9,9,Nightlife Spot,1177,1177,Independent,521,Sun Apr 22 18:31:00 +0000 2012,51.047791,-114.072502,3.5,11:31:00,1,11,5,5
