,Location_id,POI_id,POI_Type,Org_id,Latitude,Longitude,Category_2,yelp_ID,name,stars
0,0,0,Independent,4e91b6459a52db7dbabab2ea,35.227758,-80.853371,Stadium,Z5BHNFjt7ZmAse2kKlw2uA,Bank of America Stadium,4.0
1,2,2,Independent,4bddc45c6198c9b6859711ff,35.228426,-80.854568,Pub,sXj4ZFR9SmftEDXOzmZscw,Hartigan's Irish Pub,3.0
2,5,5,Independent,4b5a16e9f964a5207cac28e3,35.224868,-80.955935,Scenic Lookout,WiWCtinRtykBC6DCg6w3Fg,Charlotte Douglas Airport Overlook,4.5
3,4,4,Independent,4b155049f964a52045b023e3,35.224912,-80.83965500000002,Basketball Stadium,sYJaNxG8KLus6U7TJ2JHWA,Charlotte Hornets,4.0
4,1,1,Independent,4c9f60f246978cfa453eaa7f,35.225884,-80.85289499999998,Football Stadium,Z5BHNFjt7ZmAse2kKlw2uA,Bank of America Stadium,4.0
5,13,13,Independent,4eb596bb7ee5024d7f16f978,35.241024,-80.81450500000003,Brewery,-dcI8oWvxdMCGp00da8Ksg,Birdsong Brewing,4.5
6,12,3127,Combined,4b21405cf964a520033924e3,35.23223,-80.848625,Greek Restaurant,IIUK1lz_1upqYtHu8ZuClA,Little Village Grill,4.5
7,10,10,Independent,51522888e4b0f44ebc88175f,35.23317,-80.851456,College Quad,Lw8nfDTuRtEW9c0PEgJ-gQ,Johnson & Wales University,5.0
8,9,3127,Combined,4b25d6d6f964a520c57624e3,35.232198,-80.84889,Pub,PZngIVXHzqnqOS1E7HWGYg,The Pub at Gateway,3.5
9,8,3126,Combined,4be21308b02ec9b63d2a4cc0,35.239275,-80.84515400000002,Cocktail Bar,wUHPgIh-rJThxPvxHPlsjQ,Wet Willie's,3.0
10,14,3126,Combined,4e0bb8d92271c698c732e083,35.239036,-80.845063,Nightlife Spot,Lyz1JKChjanwGXLJM_zqYA,World Nightclub,2.0
11,15,3126,Combined,4e67df7c1838501628849e21,35.239187,-80.84605,Bar,azG7UDKXgSo938c2m27cZQ,Roc's Jazz Bar,3.5
12,7,7,Independent,50744aa3e4b07ac478d6c701,35.243332,-80.85696,College History Building,2YrKOindMktn5pOGhTK97w,Johnson C Smith University,3.5
13,17,17,Independent,4e1a264c183880768f52bbdb,35.31986,-80.873276,Golf Course,k0IOXOrhQIoaq3lAZiWFyQ,Hornet's Nest BMX Track,4.0
14,16,16,Independent,4b108c81f964a5209c7223e3,35.319656,-80.86762900000002,Park,k0IOXOrhQIoaq3lAZiWFyQ,Hornet's Nest BMX Track,4.0
15,21,21,Independent,4bf3bf3294af2d7ffabf3972,35.240292,-80.887055,Fried Chicken Joint,twGzzO3eek_cXtwdbOzAoQ,Bojangles' Famous Chicken 'n Biscuits,1.5
16,19,19,Independent,4b058639f964a520265922e3,35.219081,-80.836484,Hotel,EwPAkEUE1DtwWymmv6rS3g,Fairfield Inn & Suites,4.0
17,18,3502,Combined,4b145398f964a52040a123e3,35.218242,-80.945463,Fried Chicken Joint,Un0QXKDscxlI_yi3u14ALA,Bojangles' Famous Chicken 'n Biscuits,3.5
18,22,22,Independent,4f499b98e4b05ebee0b58ab1,35.219081,-80.8367,Bar,om4t1hDJRQqTRS9VT7ADhA,Q Tavern,3.0
19,24,24,Independent,4b6dc623f964a5208e8e2ce3,35.176983,-80.878156,Drugstore / Pharmacy,wMg55W7gShgZbeAyhem0xw,CVS Pharmacy,3.0
20,6,6,Independent,4fe4e3b0e4b0dceaf851352b,35.224704,-80.955842,Plane,WiWCtinRtykBC6DCg6w3Fg,Charlotte Douglas Airport Overlook,4.5
21,20,3502,Combined,4fa5388de4b0e4baa27cd561,35.21842,-80.945388,American Restaurant,yKfjeMdJdQ7G1C9Qs1FNzA,The Great American Bagel Bakery,2.5
22,25,25,Independent,4b1fffb9f964a520eb2b24e3,35.224675,-80.841039,Bus Station,LYaiAZUnP0l7N3JvYV836w,Charlotte Transportation Center,3.0
23,27,27,Independent,4cf05ec51d18a143d6174cec,35.13633,-80.902591,Hotel,02YwZJsj3YWcthdUVcfFuA,Courtyard by Marriott Charlotte Arrowood,3.5
24,26,26,Independent,4b439c6ff964a52048e425e3,35.136756,-80.904222,Coffee Shop,Rx6PF3O6Q8pJz8dLMJZfKQ,Starbucks,3.0
25,37,3403,Combined,4be2f3b3cbdbef3bae8060d8,35.14567,-80.929284,Paper / Office Supplies Store,ttsLP8o7Zlu9rPOpVRwG_g,The UPS Store,4.0
26,34,34,Independent,4b099ce1f964a5205b1a23e3,35.116442,-80.95790699999998,Bar,nzgmxdQWDQnsub2SwZH3aQ,Tilted Kilt Pub & Eatery,3.0
27,36,3502,Combined,4b54461cf964a52031b627e3,35.218058,-80.94519,Coffee Shop,3oMcNguqRNMxsb_j0Vdqsw,Starbucks,3.0
28,38,38,Independent,4bc4366edce4eee19404729d,35.137007000000004,-80.90198000000002,Hotel,gfwyMJ5jjROWCF4G6ERsAg,TownePlace Suites Charlotte Arrowood,2.5
29,33,33,Independent,4bc40fb0dce4eee1cde8719d,35.304152,-80.7516,Hotel,egOdSTggpdFEnQmIjNDmdg,Residence Inn Charlotte University Research Park,2.5
30,35,35,Independent,5096b676e4b054dd35560f59,35.313461,-80.743011,Coffee Shop,7GcikclqpUSuYisMdgHvGQ,Starbucks,3.5
31,29,3205,Combined,4b671674f964a52098392be3,35.340297,-80.764842,Food,SYJq8ydGY9oStzpVuHu3uw,Teriyaki Madness,3.5
32,28,3303,Combined,4b1b39a1f964a520d6f923e3,35.088073,-80.86281899999999,Sports Bar,ireHTdAh1d4lmGiieMfV_A,Fox & Hound,2.5
33,32,32,Independent,4b058639f964a520185922e3,35.15738,-80.82996,Hotel,d17le7rMteKJL5WPuU6AWw,Charlotte Marriott SouthPark,3.5
34,30,30,Independent,4f29cfc5e4b01c8768b0dbb9,35.152989,-80.836863,Hotel Bar,ygY5AKgT_ONLjrtv5zgNSQ,Renaissance Charlotte SouthPark Hotel,4.0
35,42,3502,Combined,4ded693b63657045c02bb0aa,35.220819,-80.944476,Coffee Shop,lptw12m0hIetAaRc6mdmAA,Starbucks,3.5
36,40,40,Independent,4ff0e444e4b000351af707e8,35.213771,-80.94331700000002,Plane,Lyq7ULam8T-ZddYLHq4DqA,Charlotte International Airport Parking,3.0
37,39,3122,Combined,4b2f96d4f964a520b9ec24e3,35.225327,-80.842069,Sushi Restaurant,MrSHPvHVdE_VzVN7iRz45Q,Enso Asian Bistro & Sushi Bar,3.5
38,46,46,Independent,4bcb66afcc8cd13af153bfcf,35.350837,-80.77411,Golf Course,V53VP8FwKio5oZ1pqDFKoA,The Tradition Golf Club,3.5
39,44,44,Independent,4b0ad9f8f964a520e12823e3,35.22123900000001,-80.843475,Museum,tbeyonV9fwKRf1jFZ4dfqw,NASCAR Hall of Fame,4.5
40,43,43,Independent,4cb366ce562d224beba82d88,35.212136,-80.818404,Bar,RbMo9QIPDWP7nAAolS7IFA,Kennedy's Premium Bar and Grill,3.5
41,47,47,Independent,4b0c52fdf964a5202e3b23e3,35.205479,-80.861092,Hardware Store,qrPbFiwRT5F_4HLHZVL26Q,Lowe's,3.0
42,52,3122,Combined,4b11e668f964a520b68623e3,35.225244,-80.842004,Bowling Alley,H4E4sZ6PKBef65hU0GKi_g,StrikeCity,3.0
43,49,3125,Combined,4ee1e049754a44a66d257140,35.227234,-80.838711,BBQ Joint,M10n-ivjDkkdLaxIYNafFQ,Queen City Q,3.5
