,mall_name,Latitude,Longitude,scale,POI_id,Pop
0,AvidXchange Music Factory,35.23967,-80.84552,100,3126,31.14285714
1,The Queen & Glass,35.20184,-80.84386,60,3000,29.66666667
2,Arrichion Hot Yoga,35.21703,-80.85669,60,3001,20.25
3,Viva Raw,35.22759,-80.83855,100,3125,17.85714286
4,Epicentre,35.22537,-80.84196,100,3122,17.2
5,BOA Plaza Retail Mall,35.22615,-80.84297,100,3123,16.35294118
6,Jimmy John's,35.14755,-80.83073,100,3110,16.33333333
7,Sanctuary,35.24759,-80.80428,60,3004,14.875
8,The Villages at South Park,35.15307,-80.82812,100,3112,14.5
9,Something Classic Cafe,35.22831,-80.84124,200,3227,14.44680851
10,Modern Salon & Spa,35.1456,-80.82519,100,3111,13.8
11,Thomas Street Tavern,35.21945,-80.81198,300,3310,13.32352941
12,Metropolitan,35.21248,-80.83532,200,3228,12.9
13,Founders Hall,35.22685,-80.84199,100,3124,12.84615385
14,OfficeMax,35.1037,-80.98322,100,3101,12.75
15,"Curio, Craft & Conjure",35.24699,-80.80546,60,3003,11.90909091
16,The Centrum,35.09017,-80.87911,400,3401,11.41666667
17,Matthews Festival Shopping Center,35.12624,-80.70898,300,3305,11.2
18,Charlotte Yarn,35.20296,-80.84486,100,3120,10.77777778
19,Jamba Charlotte/Douglas Int'l Airport,35.22057,-80.94278,500,3502,10.35135135
20,Contingent Resource Solutions LLC,35.11693,-80.96166,100,3107,10.33333333
21,Atherton Mill,35.20857,-80.86069,100,3121,10.2
22,StoneCrest at Piper Glen,35.06034,-80.81621,300,3304,10.05263158
23,Shoppes At University Place,35.30999,-80.74947,400,3405,10.04
24,Sprint,35.08248,-80.8768,200,3210,9.052631579
25,CosmoProf,35.08999,-80.86579,100,3102,9
26,Y2 Yoga,35.17618,-80.80254,200,3222,8.7
27,"Dermatology Practice of the Carolinas, P.A",35.0708,-80.84481,200,3219,8.571428571
28,SmartStyle Hair Salon,35.13818,-80.73201,400,3402,8.5
29,Brighton Collectibles,35.35231,-80.85064,300,3300,8.48
30,Crisp Foods,35.20016,-80.8438,100,3119,8.333333333
31,Lane Bryant,35.12855,-80.7031,200,3216,8
32,Fox & Hound,35.34933,-80.85521,200,3200,7.666666667
33,Redbox,35.05317,-80.84885,200,3212,7.5
34,Shops at Whitehall Commons,35.14514,-80.93305,400,3403,7.48
35,Harris Teeter,35.29638,-80.73849,300,3308,7.25
36,Jos. A. Bank,35.06267,-80.7722,200,3214,7
37,Microsoft Store - Southpark,35.15191,-80.83247,300,3306,6.490566038
38,Garden Center at The Home Depot,35.29668,-80.74816,200,3225,6.333333333
39,CO,35.17484,-80.84882,300,3309,6.333333333
40,McCullough Commons,35.30406,-80.74919,100,3114,6.285714286
41,Perimeter Woods,35.34691,-80.85345,200,3201,6.125
42,Costco Wholesale,35.16194,-80.8848,300,3307,6
43,Walmart ,35.0968,-80.78222,500,3501,5.789473684
44,Petit Philippe,35.17431,-80.84011,100,3117,5.333333333
45,Bath & Body Works,35.10235,-80.9862,200,3208,5.1875
46,Zo?s Kitchen,35.33631,-80.75553,200,3206,5.166666667
47,Moe's Southwest Grill,35.14735,-80.83311,100,3109,5.125
48,Walmart Supercenter,35.32877,-80.94537,300,3302,5
49,Sycamore Commons,35.13014,-80.70033,100,3106,5
50,Carolina Pavilion,35.10558,-80.87854,400,3404,4.947368421
51,Edible Arrangements,35.33468,-80.8135,200,3203,4.8
52,Tsuki Japanese Steak House & Sushi Bar,35.06845,-80.84213,200,3218,4.75
53,PUDINA,35.22582,-80.84649,60,3002,4.6
54,Dollar Tree,35.08894,-80.86055,300,3303,4.222222222
55,SpeeDee Oil Change & Auto Service,35.17484,-80.87631,200,3224,4.181818182
56,Verizon,35.17202,-80.84829,100,3116,4.083333333
57,Publix Pharmacy at McKee Farms,35.08216,-80.73033,100,3105,4
58,Cochran Commons,35.34119,-80.76537,200,3205,4
59,Gracious Glow Aesthetics Spa,35.13424,-80.71055,500,3500,3.954545455
60,Ballantyne Village,35.05333,-80.85101,200,3213,3.923076923
61,Zaxby's Chicken Fingers & Buffalo Wings,35.33473,-80.79732,200,3204,3.75
62,Lee Shoe Repair,35.08624,-80.84714,200,3211,3.714285714
63,J L Nail Spa,35.08371,-80.88457,200,3209,3.714285714
64,Asian Corner Mall,35.25661,-80.79165,100,3128,3.666666667
65,Truliant Federal Credit Union,35.34329,-80.76933,100,3100,3.666666667
66,Food Lion,35.21323,-80.69021,200,3220,3.666666667
67,Octapharma Plasma,35.1543,-80.87515,200,3223,3.285714286
68,Taboo Lounge & Hookah Bar,35.23271,-80.84878,100,3127,3.25
69,Pet Supermarket,35.08317,-80.73313,200,3215,3.166666667
70,Da Vinci's Pizza,35.29672,-80.75682,200,3226,2.833333333
71,Audibel Hearing Center,35.08824,-80.84527,100,3103,2.833333333
72,Five Below,35.34833,-80.86021,300,3301,2.714285714
73,T.J. Maxx,35.1054,-80.98694,200,3207,2.5
74,Western Union,35.05257,-80.7709,100,3104,2.5
75,V-Nails & Spa,35.33395,-80.79196,400,3400,2.4
76,Matthews Corner Shopping Center,35.12625,-80.70123,200,3217,2.2
77,Universal Beauty supply,35.16256,-80.73723,200,3221,2.142857143
78,Wang & King Asian Cafe,35.11959,-80.95675,100,3108,2
79,Sally Beauty,35.21243,-80.78367,100,3118,2
80,Terraces at University Place,35.31695,-80.74014,100,3113,1.8
81,Marshalls,35.29623,-80.76299,100,3115,1.666666667
82,Staples,35.35053,-80.84288,200,3202,1.25
