,POI_id,POI_Type,Location_id,Latitude,Longitude,Category,org_id,Yelp_id,name,stars
0,557,Independent,557,33.479985,-112.077729,Sandwich Place,4b196b3af964a52000dd23e3,yUh85ZlAq_zZ9-rRlvCgcA,Sacks Sandwiches - Phoenix,4.0
1,3321,Independent,3321,33.61045,-112.147466,Coffee Shop,4a901a25f964a520021620e3,KY4Mg8wSgDg4UpHRB_7JFg,Starbucks,3.0
2,1767,Independent,1767,33.378377,-112.02869,Chinese Restaurant,4b46640cf964a5208a1f26e3,-voRkfS42YKYsrJ9DV0FxQ,Panda Express,2.5
3,525,Independent,525,33.471296,-112.064825,American Restaurant,413ba880f964a5203f1b1fe3,oFHvr1cAktvU-bQgrl4aPw,The Coronado PHX,4.0
4,378,Independent,378,33.452909999999996,-112.07553,Gym / Fitness Center,4a66768cf964a52097c81fe3,aQSX8s676aET6peu8MRvWw,Lincoln Family YMCA,3.5
5,1166,Independent,1166,33.579529,-112.098983,Convenience Store,4ae0a43af964a520318121e3,fkpOrQ34x8AFfszr-gce0A,QuikTrip,4.0
6,2098,Independent,2098,33.423033000000004,-111.939273,Coffee Shop,4d38ca8e9ae66dcbf6b419e7,iRDfCn7MSvEVKZLyzimKpw,eJoy Internet Cafe,2.5
7,627,Independent,627,33.491267,-112.079237,Mexican Restaurant,4a4ea188f964a520d6ae1fe3,yAXWKWRTs4wNy-zrJgoeXQ,Café Tranquilo,4.0
8,2122,Independent,2122,33.422107000000004,-111.93644499999999,Burger Joint,4bf1d51999d02d7fdd9ec948,U6P56MjLrraN0JBNvOjxaA,The Chuck Box,4.0
9,1552,Independent,1552,33.597462,-112.150016,Grocery Store,4b11d511f964a520a58523e3,SKdKt0QS16YsFCpun-Qp0A,Fry's Food & Drug Stores,3.0
10,2498,Independent,2498,33.597296,-112.016878,Dentist's Office,4f58d3f3e4b0bdfd0f19a7f3,cSqnWUWOlIdOJI7D_7uu1A,Arizona Dental,4.5
11,4115,Combined,2659,33.52349,-112.022567,Resort,4a47ecabf964a5204faa1fe3,Rk94R2M9CwIaYcQ02ow1AA,Arizona Biltmore Resort & Spa Catering,3.0
12,4221,Combined,3015,33.584915,-111.976132,Department Store,4d83f0ce99b78cfa1390ac1f,p85uuUGYcgRj7nshGXX1wg,Ross Dress for Less,4.0
13,4115,Combined,2654,33.523584,-112.022668,Hotel Bar,4b9c7874f964a520f36a36e3,wuBGY61_1-udSHUrOkM82w,Wright Bar,4.0
14,2494,Independent,2494,33.597291,-112.0112,Automotive Shop,4bbfcd8f920eb713580c182c,q9SVBDGK8EZZ7ICUao1skA,Discount Tire,4.0
15,2495,Independent,2495,33.597646000000005,-112.01208600000001,Department Store,4b2e8300f964a52087e124e3,5gr5AYRCWJFi5OCG-fHX4g,At Home,3.5
16,4111,Combined,2501,33.596637,-112.01418100000001,Donut Shop,4b59dcfff964a520c09c28e3,pMKyuQD2YP9-DPPoPJysIw,Dunkin' Donuts,2.5
17,2412,Independent,2412,33.506065,-111.948118,Burger Joint,4bd7637835aad13a47c88ef3,-aqb_GgAbEIOdhbY0UDKog,Relish Burger Bistro,4.0
18,2051,Independent,2051,33.42158,-111.942899,Mexican Restaurant,4a845cbaf964a52061fc1fe3,6C_8Mh4lmLc_QEs3hHleBg,El Pollo Supremo,4.5
19,524,Independent,524,33.470911,-112.064866,Burrito Place,4a70a2b3f964a52005d81fe3,WOz66UuVsfc2K9GxzfDnGg,America's Taco Shop,3.5
20,4300,Combined,857,33.520897,-112.09813899999999,Department Store,4a84fdf5f964a520fcfd1fe3,GoeKg1hE-VMWFyI1PMOqiA,Target Optical,4.5
21,187,Independent,187,33.429699,-112.10031599999999,Burger Joint,4b8216d8f964a5203eca30e3,-TVXOYL6kvKP1uW6ND9PIg,Whataburger,2.5
22,247,Independent,247,33.48103,-112.18367099999999,Bank,4ca66e7397c8a1cdc65370a5,EFjUcSeMxtPWNkCelOTB0Q,Chase Bank,1.0
23,595,Independent,595,33.495153,-112.061797,Fast Food Restaurant,4baa8c7bf964a520a6733ae3,eEPTTvCV5iHfoacwa43lBQ,McDonald's,2.0
24,665,Independent,665,33.4975,-112.08386399999999,Coffee Shop,4a57f364f964a52021b71fe3,apdb7MGnmnx6nGWBJ0ch_g,Copper Star Coffee,4.5
25,4214,Combined,2604,33.602695000000004,-111.98353200000001,Food Court,4bd4aeda7b1876b091958986,BzChPcJYsg1guEhyDMgVxg,Osaka Japan,3.5
26,615,Independent,615,33.486884,-112.083777,Grocery Store,4a7f7a38f964a5202bf41fe3,BZ3CyGKx5_u5ns5EvAc6Gg,Bashas',2.5
27,697,Independent,697,33.500469,-112.074053,Coffee Shop,414b7a80f964a520d01c1fe3,OgJ0KxwJcJ9R5bUK0ixCbg,Lux Central,4.5
28,1632,Independent,1632,33.5814,-112.118829,Fried Chicken Joint,4e570336fa7624d9bbab93a9,52sY8-9al5LJi475nNJkyQ,Raising Cane's,3.5
29,918,Independent,918,33.538074,-112.063149,Burger Joint,4e6bc4edae609509560e72a2,HpRsWkYHu-pumsZ4O_Linw,The Habit Burger Grill,4.0
30,1330,Independent,1330,33.468108,-112.055397,Park,4b6a1d25f964a52074c82be3,af_yjV_OK181dB5seLJi3A,Coronado Park,4.0
31,135,Independent,135,33.390549,-112.13691499999999,Miscellaneous Shop,4a837a65f964a5203ffb1fe3,MQC_pj0oDtENPFP8nhoh2Q,Walmart Supercenter,2.0
32,4300,Combined,855,33.520454,-112.099745,Train Station,4aec5f71f964a52071c621e3,K3hZsobTOC-pxZpLV-v9ZQ,Metro Montebello/19th Ave,3.5
33,4300,Combined,867,33.522793,-112.09548000000001,Mall,4a7620dbf964a52054e21fe3,UT9KnZ288uwsz4pxzUVzIQ,Christown Spectrum,2.5
34,1099,Independent,1099,33.445515,-112.066748,Baseball Stadium,472eda7ef964a520094c1fe3,YgVC9NdMji-VV05w7-E1DQ,Chase Field,4.0
35,4201,Combined,147,33.378393,-112.09977099999999,Drugstore / Pharmacy,4c4cd8fee906c9288062053b,qucpLt5SpbCSW657jCc2pQ,CVS Pharmacy,2.5
36,4300,Combined,861,33.522757,-112.09891299999998,Bank,4bb197f4f964a520249b3ce3,-6R2wYNK-FQChXfhcBGAYw,Bank of America,1.5
37,3334,Independent,3334,33.610499,-112.12017,Fast Food Restaurant,4b6de390f964a52005992ce3,1r9lpt5r9l4uJxLLyt6QBw,McDonald's,2.0
38,4300,Combined,879,33.522777000000005,-112.09398799999998,Cosmetics Shop,4bf071333a15d13a71913e9f,JNfl0WHye7DeXOp8Ka6pPA,Seva Beauty,3.0
39,1212,Independent,1212,33.641563,-112.080027,Grocery Store,4f314b3ce4b010a3c0031649,h30GZNXgB1GktpScLThGPg,WinCo Foods,3.5
40,0,Independent,0,33.656549,-112.04381000000001,High School,4b911535f964a520e4a233e3,wKf2lYc3vGmmJ2eEno-h2Q,North Canyon High School,3.5
41,265,Independent,265,33.52480300000001,-112.20416000000002,Grocery Store,4b5df632f964a520367629e3,U78Cy1Hl7teN-oddUEByaQ,Fry's Food and Drug,2.0
